skim_type,skim_variable,n_missing,complete_rate,numeric.mean,numeric.sd,numeric.p0,numeric.p25,numeric.p50,numeric.p75,numeric.p100,numeric.hist
numeric,food_environment_index_raw_value,18,0.9927477840451249,7.566517857142857,1.0412732538218585,0.4,7.074999999999999,7.7,8.3,10,▁▁▁▇▅
numeric,physical_inactivity_raw_value,0,1,0.25809750201450443,0.047937006917514055,0.106,0.226,0.259,0.291,0.409,▁▃▇▅▁
numeric,access_to_exercise_opportunities_raw_value,0,1,0.6383278669164787,0.21922738889989565,0,0.503320520025,0.6688453529,0.7999966367499999,1,▁▂▅▇▆
numeric,excessive_drinking_raw_value,0,1,0.17347381142264304,0.03279336400202832,0.0926515582,0.1502975577,0.17256604479999998,0.19524752325,0.2944011884,▂▇▇▂▁
numeric,alcohol_impaired_driving_deaths_raw_value,10,0.9959709911361805,0.28628667303758093,0.1371817596813836,0,0.2,0.2777777778,0.3571428571,1,▃▇▂▁▁
numeric,sexually_transmitted_infections_raw_value,35,0.9858984689766317,372.6232120964446,240.83975939673405,40.1,211.5,310.5,467.9,2603.3,▇▂▁▁▁
numeric,teen_births_raw_value,20,0.991941982272361,31.93199744258335,15.235578158158308,2.3949705618,20.54041221,30.222638639,41.71267503425,110.23622047,▆▇▂▁▁
numeric,uninsured_raw_value,0,1,0.11156108981192586,0.049864309312737796,0.0206820142,0.0706322408,0.10431206065000001,0.14188615270000002,0.3096246973,▆▇▅▁▁
numeric,primary_care_physicians_raw_value,93,0.9625302175664786,5.502450203850983e-4,3.3088019707787824e-4,2.14648e-5,3.281378e-4,4.878189e-4,7.126455e-4,0.0044703702,▇▁▁▁▁
numeric,ratio_of_population_to_primary_care_physicians,93,0.9625302175664786,2727.8415561205356,2516.1457950057065,223.69512195,1403.2222222,2049.9411765,3047.5,46588,▇▁▁▁▁
numeric,dentists_raw_value,65,0.9738114423851733,4.594275031030203e-4,3.0260594217434343e-4,0,2.709293e-4,4.141358e-4,6.006334e-4,0.0072512811,▇▁▁▁▁
numeric,ratio_of_population_to_dentists,65,0.9738114423851733,3028.50766794753,2614.5012503982985,-3936,1624.3333333,2371.6271186,3587.1538462,29302,▇▅▁▁▁
numeric,preventable_hospital_stays_raw_value,4,0.9983883964544722,4886.742130750606,1777.556143997483,471,3749,4686.5,5767.25,17731,▃▇▁▁▁
numeric,mammography_screening_raw_value,1,0.999597099113618,0.4030914953647723,0.07517878751991545,0.07,0.35,0.4,0.46,0.62,▁▁▇▇▁
numeric,flu_vaccinations_raw_value,1,0.999597099113618,0.4137726723095526,0.09460377427848699,0.07,0.36,0.43,0.48,0.65,▁▂▅▇▁
numeric,high_school_graduation_raw_value,50,0.9798549556809025,0.8877624640935855,0.06893657719954373,0.404,0.85198340785,0.8998775783,0.9376249999999999,1,▁▁▁▅▇
numeric,some_college_raw_value,0,1,0.5739349478909347,0.11484377041127349,0.1675621222,0.49055624924999996,0.57278111285,0.6580843237999999,0.9011776963,▁▃▇▆▁
numeric,unemployment_raw_value,0,1,0.046132617044157935,0.015130601516481094,0.0175915332,0.035506461224999994,0.0437526649,0.053891938575,0.1571016351,▇▆▁▁▁
numeric,children_in_poverty_raw_value,0,1,0.2137832393231265,0.09073532158056216,0.03,0.146,0.204,0.26575000000000004,0.747,▆▇▂▁▁
numeric,income_inequality_raw_value,0,1,4.50572687633195,0.724267111006955,2.6709938727,4.001781527125,4.3986427204,4.85114618215,9.1483626745,▃▇▂▁▁
numeric,children_in_single_parent_households_raw_value,0,1,0.32586811711958097,0.10048407028925836,0.0503655565,0.259462508825,0.3182494836,0.37766309407500004,0.7776628749,▁▇▅▁▁
numeric,social_associations_raw_value,0,1,13.62668216092901,6.225351472163528,0,9.627531169825001,12.631870692500001,16.25649684,60.410793395,▇▇▁▁▁
numeric,injury_deaths_raw_value,8,0.9967767929089444,83.61641017084034,23.751318810487252,25.590719099,67.80644153575,80.9440441825,96.13090456025,220.97509646,▂▇▂▁▁
numeric,air_pollution_particulate_matter_raw_value,4,0.9983883964544722,9.116263115415657,1.7524254599013898,3.6,8,9.4,10.3,15,▁▃▇▃▁
numeric,drinking_water_violations_raw_value,39,0.984286865431104,0.39459680720425705,0.48886398166530376,0,0,0,1,1,▇▁▁▁▅
numeric,severe_housing_problems_raw_value,0,1,0.14000509485189364,0.03876072281283236,0.0406091371,0.114055396125,0.13703470175,0.16094636615,0.3482455717,▂▇▂▁▁
numeric,percentage_of_households_with_high_housing_costs,0,1,0.11362817000834005,0.03592754294598608,0.0118427286,0.08888248759999999,0.11001572235,0.132973294875,0.2749510763,▁▇▅▁▁
numeric,percentage_of_households_with_overcrowding,0,1,0.02278214491809025,0.01722816255754083,0,0.012331677625,0.0188161674,0.02771162865,0.1608775137,▇▂▁▁▁
numeric,percentage_of_households_with_lack_of_kitchen_or_plumbing_facilities,0,1,0.011556387542062852,0.008151945553088248,0,0.0065629108749999995,0.009811888599999999,0.014434292849999999,0.1243902439,▇▁▁▁▁
numeric,driving_alone_to_work_raw_value,0,1,0.8044669714047945,0.05919674705142685,0.0598291271,0.780092475875,0.81267207545,0.8412635357,0.9281221923,▁▁▁▁▇
numeric,long_commute_driving_alone_raw_value,0,1,0.31257735697018535,0.12260754173208735,0.032,0.218,0.305,0.397,0.845,▃▇▅▁▁
numeric,life_expectancy_raw_value,0,1,77.34752285083884,2.7953064778945182,66.497835397,75.5167482535,77.47823100650001,79.17036772425,91.007047342,▁▅▇▁▁
numeric,premature_age_adjusted_mortality_raw_value,0,1,406.4114826752619,109.69639388887126,123.6,329,393.25,473.225,1088.6,▂▇▂▁▁
numeric,frequent_physical_distress_raw_value,0,1,0.11965448943021757,0.022648282561581724,0.0693698659,0.10246647235,0.11721962355,0.13408482997499999,0.2110538708,▃▇▅▁▁
numeric,frequent_mental_distress_raw_value,0,1,0.12236045739464142,0.018261320796917776,0.0803455727,0.10914343835000001,0.1214607132,0.134280795425,0.2011010897,▃▇▅▁▁
numeric,diabetes_prevalence_raw_value,0,1,0.11749959709911362,0.024357760231875643,0.042,0.1,0.117,0.134,0.209,▁▆▇▂▁
numeric,food_insecurity_raw_value,0,1,0.1364351329572925,0.04061723522126783,0.037,0.109,0.132,0.157,0.361,▂▇▂▁▁
numeric,limited_access_to_healthy_foods_raw_value,18,0.9927477840451249,0.07650408973169642,0.06634891295878108,0,0.0342720239,0.06139469265,0.0994163656,0.6726575425,▇▁▁▁▁
numeric,insufficient_sleep_raw_value,0,1,0.3335438146768332,0.040341531840186066,0.2322678619,0.3056178794,0.33300969005,0.36234438529999996,0.4670778346,▂▆▇▃▁
numeric,uninsured_adults_raw_value,0,1,0.13352403869117646,0.06225484827232673,0.0254340742,0.081615122675,0.12459338875,0.173858280525,0.4067918086,▇▇▃▁▁
numeric,uninsured_children_raw_value,0,1,0.05803041881426269,0.029849121365834952,0.0076467702,0.037716902074999996,0.0501621872,0.0706115363,0.2258064516,▇▆▂▁▁
numeric,other_primary_care_providers_raw_value,23,0.9907332796132151,7.756687335502237e-4,5.704138257294869e-4,0,4.467728e-4,6.684492e-4,9.603716e-4,0.0143388792,▇▁▁▁▁
numeric,ratio_of_population_to_primary_care_providers_other_than_physicians,23,0.9907332796132151,1926.2642155729097,1927.0504825263295,-3936,1031.20412235,1487.5,2220.34375,51307,▇▁▁▁▁
numeric,median_household_income_raw_value,0,1,51093.04794520548,13330.946835516077,24783,42415.5,48951.5,56875.25,136191,▇▇▁▁▁
numeric,children_eligible_for_free_or_reduced_price_lunch_raw_value,114,0.9540692989524577,0.5476158425664274,0.18514188593538863,0.0806270997,0.41676135480000004,0.52885603295,0.64753735635,1,▁▆▇▃▂
numeric,homeownership_raw_value,0,1,0.7151209689485093,0.07863222366670584,0.2405936612,0.679892743725,0.72671257695,0.7677195906500001,0.8987341772,▁▁▂▇▃
numeric,severe_housing_cost_burden_raw_value,0,1,0.1145709723036664,0.03493099426650446,0.0271013354,0.09091433995,0.11038823245,0.13393174395000002,0.2806385675,▂▇▃▁▁
numeric,population_raw_value,0,1,94255.3549556809,257603.2804301681,2088,12395.25,27581.5,67154.5,5211263,▇▁▁▁▁
numeric,percent_below_18_years_of_age_raw_value,0,1,0.22421735061526996,0.03355146629249482,0.0952716015,0.20391595015,0.22415269535,0.2409595886,0.4124192747,▁▇▇▁▁
numeric,percent_65_and_older_raw_value,0,1,0.18495391764895247,0.042128015241690554,0.0476650875,0.158051807225,0.1820989481,0.20887642542499998,0.3599185336,▁▆▇▂▁
numeric,percent_american_indian_and_alaskan_native_raw_value,0,1,0.020724983825100726,0.06675213056047322,9.099802e-4,0.003605441375,0.00586010605,0.012000691625,0.8797814208,▇▁▁▁▁
numeric,percent_native_hawaiian_other_pacific_islander_raw_value,0,1,0.0011630343935938759,0.004581720637520946,0,3.0645865e-4,5.6874195e-4,0.001063233925,0.1312000639,▇▁▁▁▁
numeric,percent_not_proficient_in_english_raw_value,0,1,0.016586503510233684,0.027731745856978803,0,0.0028105472,0.0073284274,0.018024143899999998,0.3021484238,▇▁▁▁▁
numeric,percent_females_raw_value,0,1,0.5000398894479049,0.020669624418347795,0.3149239413,0.49526148695,0.5035107074,0.510262905475,0.5700383894,▁▁▁▇▁
numeric,percent_rural_raw_value,0,1,0.5742490456294157,0.3045962997764005,0,0.3317916635,0.58130486375,0.821682440325,1,▅▅▆▆▇
numeric,na_count,0,1,36.01208702659146,6.406668400631316,0,33,36,39,54,▁▁▁▇▁
